user_id,role_k1500,onet_code,onet_title,affected_score
206111592,research engineer,17-2199.09,Nanosystems Engineers,0.6
140717754,research engineer,17-2199.09,Nanosystems Engineers,0.6
49915921,research engineer,17-2199.09,Nanosystems Engineers,0.6
31183424,business relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
18465930,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
196421226,process development engineer,17-2031.00,Bioengineers and Biomedical Engineers,0.6
187455288,process engineer,17-2031.00,Bioengineers and Biomedical Engineers,0.6
41151430,production engineer,17-2031.00,Bioengineers and Biomedical Engineers,0.6
60786821,banking officer,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
103184384,process development engineer,17-2031.00,Bioengineers and Biomedical Engineers,0.6
15529651,research engineer,17-2199.09,Nanosystems Engineers,0.6
190337973,financial services representative,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
26507812,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
22824545,process engineer,17-2031.00,Bioengineers and Biomedical Engineers,0.6
72743553,financial services representative,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
33098082,banker,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
85889034,process engineer,17-2031.00,Bioengineers and Biomedical Engineers,0.6
70050026,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
165513960,bank,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
180221154,business relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
25176006,financial services representative,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
42807682,business relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
184066290,research engineer,17-2199.09,Nanosystems Engineers,0.6
146728442,research engineer,17-2199.09,Nanosystems Engineers,0.6
133142138,research engineer,17-2199.09,Nanosystems Engineers,0.6
76366769,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
198522159,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
93921948,research engineer,17-2199.09,Nanosystems Engineers,0.6
92900716,research engineer,17-2199.09,Nanosystems Engineers,0.6
198879135,banking,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
111292704,research engineer,17-2199.09,Nanosystems Engineers,0.6
13298303,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
135679456,financial representative,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
188552556,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
132488106,process engineer,17-2031.00,Bioengineers and Biomedical Engineers,0.6
186295280,r d,17-2199.09,Nanosystems Engineers,0.6
127489801,research engineer,17-2199.09,Nanosystems Engineers,0.6
11283904,investment representative,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
73464750,research development engineer,17-2199.09,Nanosystems Engineers,0.6
135284455,research development engineer,17-2199.09,Nanosystems Engineers,0.6
125858377,banker,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
71470134,process development engineer,17-2031.00,Bioengineers and Biomedical Engineers,0.6
69599521,wholesaler,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
152070953,process engineering,17-2031.00,Bioengineers and Biomedical Engineers,0.6
99920241,research development engineer,17-2199.09,Nanosystems Engineers,0.6
160674906,technologist,17-2199.09,Nanosystems Engineers,0.6
59164471,business banking,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
22230180,banker,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
16277074,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
114508505,banker,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
163392377,it support technician,15-1232.00,Computer User Support Specialists,0.59375
72187982,technical support,15-1232.00,Computer User Support Specialists,0.59375
82603954,it technician,15-1232.00,Computer User Support Specialists,0.59375
110529998,technical support representative,15-1232.00,Computer User Support Specialists,0.59375
115989364,service analyst,15-1232.00,Computer User Support Specialists,0.59375
50962901,computer,15-1232.00,Computer User Support Specialists,0.59375
113829357,computer technician,15-1232.00,Computer User Support Specialists,0.59375
20342266,it technician,15-1232.00,Computer User Support Specialists,0.59375
86842541,help technician,15-1232.00,Computer User Support Specialists,0.59375
206479750,support analyst,15-1232.00,Computer User Support Specialists,0.59375
167251942,service analyst,15-1232.00,Computer User Support Specialists,0.59375
53489749,computer technician,15-1232.00,Computer User Support Specialists,0.59375
70942463,help analyst,15-1232.00,Computer User Support Specialists,0.59375
121344730,it support,15-1232.00,Computer User Support Specialists,0.59375
33316009,support,15-1232.00,Computer User Support Specialists,0.59375
54373922,support,15-1232.00,Computer User Support Specialists,0.59375
117157236,computer,15-1232.00,Computer User Support Specialists,0.59375
135538945,desktop support technician,15-1232.00,Computer User Support Specialists,0.59375
180435382,desktop support technician,15-1232.00,Computer User Support Specialists,0.59375
197387789,desktop support technician,15-1232.00,Computer User Support Specialists,0.59375
28482910,computer technician,15-1232.00,Computer User Support Specialists,0.59375
13545968,computer technician,15-1232.00,Computer User Support Specialists,0.59375
51137607,help technician,15-1232.00,Computer User Support Specialists,0.59375
174152916,tech support,15-1232.00,Computer User Support Specialists,0.59375
12267861,computer technician,15-1232.00,Computer User Support Specialists,0.59375
40626402,technical support analyst,15-1232.00,Computer User Support Specialists,0.59375
133084826,computer technician,15-1232.00,Computer User Support Specialists,0.59375
154821710,technical support,15-1232.00,Computer User Support Specialists,0.59375
64623051,it technician,15-1232.00,Computer User Support Specialists,0.59375
44513549,computer technician,15-1232.00,Computer User Support Specialists,0.59375
157366118,support,15-1232.00,Computer User Support Specialists,0.59375
64190915,help technician,15-1232.00,Computer User Support Specialists,0.59375
148192004,technical support analyst,15-1232.00,Computer User Support Specialists,0.59375
81177242,technical support,15-1232.00,Computer User Support Specialists,0.59375
49452752,computer technician,15-1232.00,Computer User Support Specialists,0.59375
137030777,it technician,15-1232.00,Computer User Support Specialists,0.59375
162190544,desktop support,15-1232.00,Computer User Support Specialists,0.59375
58214173,computer,15-1232.00,Computer User Support Specialists,0.59375
