role_k1500,role_k1000,role_k500,role_k300,role_k150,role_k50,job_category,onet_code,onet_title
accounts officer,Accounts Officer,Account Officer,Accountant,Accountant,Accountant,Finance,13-2011.00,Accountants and Auditors
accounts payable,Accounts Payable,Accounts Payable,Billing Specialist,Billing Specialist,Billing Specialist,Finance,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
accounts payable analyst,Accounts Payable,Accounts Payable,Billing Specialist,Billing Specialist,Billing Specialist,Finance,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
accounts receivable,Accounts Receivable Specialist,Accounts Payable,Billing Specialist,Billing Specialist,Billing Specialist,Finance,43-3021.00,Billing and Posting Clerks
actor,Actor,Stage Manager,Stage Manager,Producer,Producer,Marketing,27-2011.00,Actors
actuarial,Actuarial Associate,Actuary,Actuary,Risk Analyst,Investment Specialist,Finance,15-2011.00,Actuaries
actuarial analyst,Actuarial Associate,Actuary,Actuary,Risk Analyst,Investment Specialist,Finance,15-2011.00,Actuaries
actuary,Actuary,Actuary,Actuary,Risk Analyst,Investment Specialist,Finance,15-2011.00,Actuaries
adjuster,Adjuster,Inspector,Inspector,Claims Specialist,Claims Specialist,Finance,13-1032.00,"Insurance Appraisers, Auto Damage"
admin,Admin,Admin,Admin,Operations Administrator,Operations Administrator,Admin,43-9022.00,Word Processors and Typists
administration,Administration,Administration,Operations Administrator,Operations Administrator,Operations Administrator,Admin,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
administrative,Administrative Assistant,Administrative Assistant,Operations Administrator,Operations Administrator,Operations Administrator,Admin,43-6011.00,Executive Secretaries and Executive Administrative Assistants
administrative coordinator,Administrative Coordinator,Administration,Operations Administrator,Operations Administrator,Operations Administrator,Admin,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
administrative officer,Administrative Officer,Administrative Assistant,Operations Administrator,Operations Administrator,Operations Administrator,Admin,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
administrative support,Administrative Support,Administrative Support,Administrative Support,Information Specialist,Operations Administrator,Admin,43-6011.00,Executive Secretaries and Executive Administrative Assistants
administrator,Administrator,Administrator,Administrator,Officer,Operations Manager,Operations,11-3012.00,Administrative Services Managers
admissions,Admissions Specialist,Center Manager,Coordinator,Coordinator,Coordinator,Admin,11-9033.00,"Education Administrators, Postsecondary"
advertising,Advertising Specialist,Marketing,Marketing,Marketing,Marketing,Marketing,13-1161.01,Search Marketing Strategists
advisory software engineer,Advisory Software Engineer,SDE,Module Operator,Software Engineer,Software Engineer,Engineer,15-1252.00,Software Developers
affairs,Corporate Affairs,Employee Relations,Employee Relations,Communications Specialist,Communications Specialist,Marketing,11-1031.00,Legislators
agency,Agency Owner,Business Manager,Business Manager,Client Services,Client Services,Finance,11-3031.00,Financial Managers
agent,Agent,Agent,Agent,Agent,Financial Advisor,Finance,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
agile coach,Scrum Master,Scrum Master,Scrum Master,DevOps Engineer,Software Engineer,Engineer,13-1199.04,Business Continuity Planners
agm,AGM,AM,AM,AM,Operations Manager,Operations,11-1021.00,General and Operations Managers
aircraft maintenance technician,Aircraft Mechanic,Aircraft Mechanic,Mechanic,Mechanic,Machine Operator,Engineer,49-3011.00,Aircraft Mechanics and Service Technicians
aircraft mechanic,Aircraft Mechanic,Aircraft Mechanic,Mechanic,Mechanic,Machine Operator,Engineer,49-3011.00,Aircraft Mechanics and Service Technicians
aircraft technician,Aircraft Mechanic,Aircraft Mechanic,Mechanic,Mechanic,Machine Operator,Engineer,49-3011.00,Aircraft Mechanics and Service Technicians
airline pilot,Pilot,Pilot,Pilot,Pilot,Receptionist,Sales,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
alliance,Alliance Manager,Alliance Manager,Alliance Manager,Product Manager,Product Manager,Sales,11-2021.00,Marketing Managers
am,AM,AM,AM,AM,Operations Manager,Operations,11-3031.00,Financial Managers
ambassador,Ambassador,Ambassador,Host,Coach,Coordinator,Admin,11-1031.00,Legislators
aml analyst,KYC Analyst,KYC Analyst,Fraud Analyst,Fraud Analyst,Legal,Admin,13-1041.00,Compliance Officers
analyst,Analyst,Analyst,Analyst,Data Analyst,Data Analyst,Engineer,15-2051.01,Business Intelligence Analysts
analyst developer,Analyst Programmer,Programmer Analyst,Software Developer,Software Developer,Software Engineer,Engineer,15-1251.00,Computer Programmers
analyst programmer,Analyst Programmer,Programmer Analyst,Software Developer,Software Developer,Software Engineer,Engineer,15-1251.00,Computer Programmers
analytical chemist,Chemist,Chemical Engineer,Chemical Engineer,Laboratory Technician,Quality Assurance,Engineer,19-2031.00,Chemists
analytics,Analytics Specialist,Analytics Specialist,Analytics Specialist,Data Scientist,Data Analyst,Engineer,15-2051.00,Data Scientists
android developer,Android Developer,Android Developer,Mobile Specialist,Web Developer,Software Engineer,Engineer,15-1252.00,Software Developers
animator,Animator,Stage Manager,Stage Manager,Producer,Producer,Marketing,27-2011.00,Actors
application,Application Specialist,Application Specialist,Application Specialist,IT Project Manager,IT Project Manager,Engineer,15-1231.00,Computer Network Support Specialists
application analyst,Application Analyst,Technical Analyst,IT Analyst,IT Analyst,IT Specialist,Engineer,15-1211.00,Computer Systems Analysts
application architect,Application Development Associate,Application Development Associate,Solutions Architect,Technology Lead,Software Engineer,Engineer,15-1251.00,Computer Programmers
application consultant,Application Consultant,Application Consultant,Application Specialist,IT Project Manager,IT Project Manager,Engineer,15-1211.00,Computer Systems Analysts
application developer,Developer,Software Developer,Software Developer,Software Developer,Software Engineer,Engineer,15-1251.00,Computer Programmers
application development,Application Development Associate,Application Development Associate,Solutions Architect,Technology Lead,Software Engineer,Engineer,15-1211.00,Computer Systems Analysts
application development analyst,Application Development Analyst,Technology Analyst,Technology Analyst,Technology Analyst,Software Engineer,Engineer,15-1211.00,Computer Systems Analysts
application engineer,Application Engineer,Application Engineer,Application Engineer,Application Engineer,Application Engineer,Engineer,17-2199.06,Microsystems Engineers
application support,Application Support,Application Support,Application Support,Application Support,IT Specialist,Engineer,15-1299.06,Digital Forensics Analysts
application support analyst,Application Support,Application Support,Application Support,Application Support,IT Specialist,Engineer,15-1299.06,Digital Forensics Analysts
application support engineer,Application Support,Application Support,Application Support,Application Support,IT Specialist,Engineer,15-1253.00,Software Quality Assurance Analysts and Testers
applications,Applications Specialist,Application Specialist,Application Specialist,IT Project Manager,IT Project Manager,Engineer,15-1299.09,Information Technology Project Managers
applications developer,Programmer Analyst,Programmer Analyst,Software Developer,Software Developer,Software Engineer,Engineer,15-1251.00,Computer Programmers
applications engineer,Application Engineer,Application Engineer,Application Engineer,Application Engineer,Application Engineer,Engineer,17-2199.06,Microsystems Engineers
ar,Accounts Receivable Specialist,Accounts Payable,Billing Specialist,Billing Specialist,Billing Specialist,Finance,43-3021.00,Billing and Posting Clerks
architect,Architect,Technical Architect,Technical Architect,Technical Architect,Technical Architect,Engineer,17-1011.00,"Architects, Except Landscape and Naval"
architecture,Architect,Technical Architect,Technical Architect,Technical Architect,Technical Architect,Engineer,17-1011.00,"Architects, Except Landscape and Naval"
art,Creative Director,Graphic Designer,Graphic Designer,Graphic Designer,Designer,Marketing,27-1011.00,Art Directors
artist,Artist,Photographer,Photographer,Producer,Producer,Marketing,27-1012.00,Craft Artists
assembler,Assembler,Machine Operator,Machine Operator,Machine Operator,Machine Operator,Engineer,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
assembly,Assembly Operator,Machine Operator,Machine Operator,Machine Operator,Machine Operator,Engineer,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
assembly technician,Assembly Technician,Machine Operator,Machine Operator,Machine Operator,Machine Operator,Engineer,51-2023.00,Electromechanical Equipment Assemblers
assembly worker,Assembler,Machine Operator,Machine Operator,Machine Operator,Machine Operator,Engineer,51-2022.00,Electrical and Electronic Equipment Assemblers
asset,Asset Management,Asset Management,Investment Specialist,Investment Specialist,Investment Specialist,Finance,11-3031.03,Investment Fund Managers
asset protection,Loss Prevention,Loss Prevention,Loss Prevention,Loss Prevention,Retail Sales,Sales,11-9199.08,Loss Prevention Managers
assets protection,Loss Prevention,Loss Prevention,Loss Prevention,Loss Prevention,Retail Sales,Sales,11-9199.08,Loss Prevention Managers
athlete,Athlete,Coach,Coach,Coach,Coordinator,Admin,27-2021.00,Athletes and Sports Competitors
attorney,Counsel,Legal,Legal,Legal,Legal,Admin,23-1011.00,Lawyers
audit,Auditor,Auditor,Auditor,Auditor,Accountant,Finance,11-9199.02,Compliance Managers
auditor,Auditor,Auditor,Auditor,Auditor,Accountant,Finance,11-9199.02,Compliance Managers
automation,Automation Engineer,Automation Engineer,Automation Engineer,Automation Engineer,Mechanical Engineer,Engineer,15-1299.07,Blockchain Engineers
automation engineer,Automation Engineer,Automation Engineer,Automation Engineer,Automation Engineer,Mechanical Engineer,Engineer,17-2072.00,"Electronics Engineers, Except Computer"
automotive technician,Automotive Technician,Mechanic,Mechanic,Mechanic,Machine Operator,Engineer,17-3027.01,Automotive Engineering Technicians
avp,AVP,AVP,AVP,Risk Analyst,Investment Specialist,Finance,11-3031.03,Investment Fund Managers
back,Back Office,Back Office,Back Office,Billing Specialist,Billing Specialist,Finance,43-3021.00,Billing and Posting Clerks
backroom,Stocker,Stocker,Stocker,Cashier,Cashier,Sales,53-7065.00,Stockers and Order Fillers
baker,Baker,Baker,Cook,Crew Member,Crew Member,Sales,51-3011.00,Bakers
bakery,Bakery Associate,Produce Associate,Stocker,Cashier,Cashier,Sales,51-3021.00,Butchers and Meat Cutters
bank,Bank Associate,Bank Associate,Banker,Banker,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
bank officer,Bank Associate,Bank Associate,Banker,Banker,Financial Advisor,Finance,13-2041.00,Credit Analysts
bank teller,Bank Teller,Bank Teller,Bank Teller,Banker,Financial Advisor,Finance,43-3071.00,Tellers
banker,Banker,Banker,Banker,Banker,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
banking,Banking,Banker,Banker,Banker,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
banking center,Banking Center Manager,Financial Services Representative,Bank Teller,Banker,Financial Advisor,Finance,13-2072.00,Loan Officers
banking consultant,Banking Consultant,Banker,Banker,Banker,Financial Advisor,Finance,13-2041.00,Credit Analysts
banking officer,Banking,Banker,Banker,Banker,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
banquet server,Server,Server,Cook,Crew Member,Crew Member,Sales,35-3023.00,Fast Food and Counter Workers
bar,Bartender,Bartender,Bartender,Crew Member,Crew Member,Sales,35-3011.00,Bartenders
barista,Barista,Server,Cook,Crew Member,Crew Member,Sales,35-3023.01,Baristas
bartender,Bartender,Bartender,Bartender,Crew Member,Crew Member,Sales,35-3011.00,Bartenders
bdm,BDM,Business Development Officer,Business Manager,Client Services,Client Services,Finance,11-2022.00,Sales Managers
beauty,Beauty Advisor,Beauty Advisor,Stylist,Stylist,Merchandiser,Sales,41-9011.00,Demonstrators and Product Promoters
beauty consultant,Beauty Advisor,Beauty Advisor,Stylist,Stylist,Merchandiser,Sales,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
belt,Six Sigma Black Belt,Six Sigma Black Belt,Six Sigma Black Belt,Manufacturing Associate,Production Operator,Engineer,17-2112.00,Industrial Engineers
benefits,Benefits Specialist,Benefits Specialist,Benefits Specialist,Benefits Specialist,Human Resources Specialist,Admin,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
benefits administrator,Benefits Specialist,Benefits Specialist,Benefits Specialist,Benefits Specialist,Human Resources Specialist,Admin,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
benefits analyst,Benefits Specialist,Benefits Specialist,Benefits Specialist,Benefits Specialist,Human Resources Specialist,Admin,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
benefits consultant,Benefits Consultant,Benefits Specialist,Benefits Specialist,Benefits Specialist,Human Resources Specialist,Admin,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
bid,Bid Manager,Bid Manager,Bid Manager,Contracts Specialist,Technical Architect,Engineer,13-1082.00,Project Management Specialists
billing,Billing Specialist,Billing Specialist,Billing Specialist,Billing Specialist,Billing Specialist,Finance,43-3021.00,Billing and Posting Clerks
billing analyst,Billing Specialist,Billing Specialist,Billing Specialist,Billing Specialist,Billing Specialist,Finance,43-3021.00,Billing and Posting Clerks
book seller,Book Seller,Shop Employee,Sales Floor Associate,Cashier,Cashier,Sales,41-2011.00,Cashiers
bookkeeper,Bookkeeper,Bookkeeper,Cash Manager,Billing Specialist,Billing Specialist,Finance,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
branch,Branch Manager,Branch Manager,Branch Manager,Branch Manager,Retail Sales,Sales,11-3031.00,Financial Managers
branch administrator,Branch Administrator,Operations Administrator,Operations Administrator,Operations Administrator,Operations Administrator,Admin,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
branch operations,Branch Operations Manager,Branch Operations Manager,Branch Operations Manager,Branch Manager,Retail Sales,Sales,43-3071.00,Tellers
branch sales,Branch Sales Manager,Branch Manager,Branch Manager,Branch Manager,Retail Sales,Sales,11-3031.00,Financial Managers
branch service,Branch Operations Manager,Branch Operations Manager,Branch Operations Manager,Branch Manager,Retail Sales,Sales,43-3071.00,Tellers
brand,Brand Manager,Brand Manager,Brand Manager,Brand Manager,Marketing,Marketing,11-2021.00,Marketing Managers
brand ambassador,Brand Ambassador,Brand Ambassador,Brand Ambassador,Sales Representative,Sales Representative,Sales,41-9011.00,Demonstrators and Product Promoters
brand marketing,Brand Manager,Brand Manager,Brand Manager,Brand Manager,Marketing,Marketing,13-1161.01,Search Marketing Strategists
brand representative,Brand Ambassador,Brand Ambassador,Brand Ambassador,Sales Representative,Sales Representative,Sales,41-9011.00,Demonstrators and Product Promoters
broker,Realtor,Realtor,Realtor,Realtor,Financial Advisor,Finance,41-9021.00,Real Estate Brokers
brokerage,Brokerage Specialist,Brokerage Specialist,Wealth Manager,Wealth Manager,Financial Advisor,Finance,43-4011.00,Brokerage Clerks
business,Business Manager,Business Manager,Business Manager,Client Services,Client Services,Finance,11-3031.00,Financial Managers
business account,Business Account Manager,Business Account Manager,Senior Sales Development Representative,Customer Success Specialist,Sales Associate,Sales,11-2011.00,Advertising and Promotions Managers
business administrator,Administration,Administration,Operations Administrator,Operations Administrator,Operations Administrator,Admin,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
business analysis,Business Analysis Manager,Business Analyst,Business Analyst,Business Analyst,Data Analyst,Engineer,13-1111.00,Management Analysts
business analyst,Business Analyst,Business Analyst,Business Analyst,Business Analyst,Data Analyst,Engineer,13-1111.00,Management Analysts
business analyst consultant,Technical Business Analyst,Project Business Analyst,Business Systems Analyst,IT Project Manager,IT Project Manager,Engineer,13-1111.00,Management Analysts
business analyst project,Project Business Analyst,Project Business Analyst,Business Systems Analyst,IT Project Manager,IT Project Manager,Engineer,13-1111.00,Management Analysts
business analytics,Analytics Specialist,Analytics Specialist,Analytics Specialist,Data Scientist,Data Analyst,Engineer,15-2051.01,Business Intelligence Analysts
business architect,Business Architect,Project Business Analyst,Business Systems Analyst,IT Project Manager,IT Project Manager,Engineer,13-1111.00,Management Analysts
editorial,Writer,Writer,Writer,Writer,Producer,Marketing,43-9081.00,Proofreaders and Copy Markers
business banker,Business Banking Specialist,Business Banking Specialist,Banker,Banker,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
business banking,Business Banking Specialist,Business Banking Specialist,Banker,Banker,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
business banking relationship,Business Banking Specialist,Business Banking Specialist,Banker,Banker,Financial Advisor,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
business consultant,Business Consultant,Business Consultant,Business Manager,Client Services,Client Services,Finance,13-2052.00,Personal Financial Advisors
business controller,Business Controller,Financial Controller,Financial Controller,Financial Controller,Accountant,Finance,11-3031.01,Treasurers and Controllers
business coordinator,Business Coordinator,Accounts Assistant,Accounts Assistant,Business Support,Client Services,Finance,11-3012.00,Administrative Services Managers
business data analyst,Business Intelligence Analyst,Analytics Specialist,Analytics Specialist,Data Scientist,Data Analyst,Engineer,15-2051.01,Business Intelligence Analysts
